speaker_id,approach,n_refs,strategy,utmos_mean,utmos_std,utmos_count,speaker_sim_mean,speaker_sim_std,speaker_sim_count,wer_mean,wer_std,wer_count
1188,concat_audio,3,longest,4.3448666666666655,0.1045991441283387,15,0.9701000000000001,0.018334666618185343,15,0.20734,0.12500745577764552,15
1188,concat_audio,2,longest,4.400133333333333,0.05885559406191528,15,0.9700400000000001,0.019035710801393407,15,0.18669333333333332,0.12090194649659974,15
1188,concat_audio,3,random,4.185533333333333,0.8208706933726501,15,0.9696928571428571,0.012873733800961637,14,3.39434,12.409628308109335,15
1188,concat_audio,5,random,4.166933333333334,0.820262716335153,15,0.9692714285714287,0.02370703980390079,14,1.4807333333333332,5.12424852520789,15
1188,concat_audio,2,random,4.373266666666667,0.08801417634730904,15,0.9685666666666666,0.02102161019613139,15,0.20548666666666668,0.12479943833817445,15
1188,concat_audio,5,longest,4.363533333333334,0.0721970188013988,15,0.9679666666666666,0.02012701335684624,15,0.22463333333333332,0.16933662445245679,15
1995,concat_audio,3,longest,4.462666666666667,0.07383443512023238,15,0.9653466666666667,0.020901840884978342,15,0.17006666666666664,0.10601785339316787,15
1188,embed_avg,2,longest,4.453666666666667,0.0626756579162764,15,0.9649533333333333,0.02228118574257749,15,0.17126666666666665,0.09190368923627655,15
1188,embed_avg,5,longest,4.450866666666666,0.048198794689533565,15,0.9645533333333335,0.019554570772462317,15,0.1980866666666667,0.14979270851349716,15
1995,concat_audio,5,longest,4.4320666666666675,0.14182507669997002,15,0.9639666666666665,0.022359103823935435,15,0.15647333333333333,0.10777259436070981,15
1188,concat_audio,1,longest,4.334599999999999,0.16407524406285587,15,0.9635933333333332,0.018609884726236463,15,0.19601999999999997,0.12651067826189896,15
4992,concat_audio,1,longest,4.466333333333334,0.05533103839188097,15,0.9634800000000001,0.032094908363432706,15,0.4756733333333333,0.3397848194428491,15
1188,embed_avg,5,random,4.4632,0.04504156810261892,15,0.9633933333333334,0.021227322914000195,15,0.18588666666666667,0.13522086623989166,15
1188,embed_avg,2,random,4.452866666666667,0.06717234408239592,15,0.9633933333333332,0.0247569749671443,15,0.19334,0.13122984634384272,15
1188,single_baseline,1,random,4.348666666666666,0.11543375754497641,15,0.9633933333333332,0.02368608592964796,15,0.21335333333333334,0.14532138701447053,15
4992,concat_audio,5,random,4.4929999999999986,0.0691220452739727,15,0.9631866666666666,0.029677934724704307,15,0.12584666666666663,0.13930266055641305,15
1188,embed_avg,3,longest,4.4677999999999995,0.0517772702475296,15,0.96256,0.023388360963766328,15,0.21912666666666664,0.16666954673702034,15
1188,embed_avg,3,random,4.472266666666666,0.03297502662549919,15,0.9622866666666667,0.02638313494495697,15,0.17128666666666667,0.10754547786645334,15
1188,concat_audio,1,random,4.368733333333333,0.09300343055628692,15,0.9612799999999999,0.029010594124019105,15,0.23443333333333333,0.15055545569023807,15
4992,concat_audio,5,longest,4.454666666666666,0.18030793765376044,15,0.9594333333333334,0.03606810357141191,15,0.16031333333333334,0.14645106870149333,15
4992,concat_audio,3,random,4.437733333333332,0.14217517699085516,15,0.9580866666666668,0.03525482472891713,15,0.28479999999999994,0.25798474484245876,15
4992,concat_audio,3,longest,4.490466666666667,0.07062665084459124,15,0.9577000000000001,0.047940051850499404,15,0.4478933333333333,0.21714049588315154,15
1188,embed_avg,1,longest,4.476733333333333,0.035989019489415366,15,0.95722,0.03259204986320612,15,0.16521333333333332,0.10464255394072765,15
1995,concat_audio,1,longest,4.488,0.057631836439840926,15,0.9571999999999999,0.016910013939337,15,0.15478666666666666,0.07623532989244242,15
1995,concat_audio,3,random,4.472466666666667,0.02992816797091395,15,0.9554266666666665,0.016434870014117916,15,0.14579999999999999,0.09106354923897926,15
4992,embed_avg,1,longest,4.539933333333334,0.02871651258837148,15,0.9550000000000001,0.022868131287261506,15,0.1170533333333333,0.13092628714916904,15
4992,embed_avg,2,longest,4.525933333333334,0.034214588923996904,15,0.9540666666666666,0.028850394071749497,15,0.10203999999999998,0.12557586096516662,15
4992,concat_audio,2,longest,4.2624,0.8429724448978999,15,0.9539142857142855,0.05051156542573436,14,0.61424,1.620807448156628,15
1995,concat_audio,5,random,4.459266666666666,0.06628991160766759,15,0.9536333333333332,0.016305987798819123,15,0.14580666666666664,0.09068709521257827,15
4992,embed_avg,5,random,4.522666666666666,0.037980571474423824,15,0.9527866666666666,0.02996845643259562,15,0.11805333333333333,0.12610717588433978,15
4992,embed_avg,5,longest,4.521866666666668,0.03728627987164536,15,0.9495866666666667,0.027242610181915563,15,0.11099333333333332,0.12178273081110276,15
1188,embed_avg,1,random,4.459933333333334,0.04719937449141609,15,0.9495066666666666,0.044059139909033755,15,0.18696666666666667,0.13336085668305409,15
4992,embed_avg,3,longest,4.531666666666666,0.028067944773522813,15,0.9492933333333333,0.04027724395924304,15,0.10027999999999998,0.12593769548017442,15
1995,concat_audio,2,longest,4.496866666666667,0.025286548277879354,15,0.9485733333333333,0.02457462299279677,15,0.16473333333333331,0.11398081709948683,15
4992,embed_avg,2,random,4.533,0.028253950419113234,15,0.9476266666666665,0.026403150966359694,15,0.10350666666666665,0.13838463202593118,15
4992,concat_audio,2,random,4.508466666666666,0.028789548368081373,15,0.9469600000000001,0.05716288506165019,15,0.12618666666666664,0.13226288685075355,15
4446,embed_avg,3,longest,4.4064000000000005,0.09524464739366122,15,0.9469000000000001,0.02458312429289653,15,0.07898666666666668,0.1453138517960677,15
4446,embed_avg,5,longest,4.424333333333333,0.05290242590530864,15,0.9459533333333335,0.021292012810530846,15,0.06787333333333333,0.09983775027990356,15
4992,embed_avg,3,random,4.505533333333333,0.10093835931375338,15,0.9453600000000002,0.02575233137850963,15,0.14473333333333332,0.13081243205808987,15
4446,concat_audio,2,longest,4.2797333333333345,0.152124228682945,15,0.94394,0.028239202740668344,15,0.06353333333333333,0.10053179785994269,15
1995,embed_avg,1,longest,4.5004,0.035504124508891365,15,0.9433733333333334,0.020326599978025505,15,0.1605933333333333,0.10279393024511758,15
4992,concat_audio,1,random,4.492266666666667,0.0491302447824246,15,0.9400533333333334,0.053395677549333345,15,0.13806666666666664,0.13464191486344523,15
4446,embed_avg,5,random,4.3974,0.19704633247756,15,0.9386800000000002,0.02591944113154117,15,0.07393333333333334,0.0981684606514061,15
1995,embed_avg,5,longest,4.489066666666667,0.033074519036923336,15,0.9345533333333336,0.017490277571376896,15,0.1494533333333333,0.08285303569459314,15
