speaker_id,target_id,approach,n_refs,strategy,seed,output_path,tts_time_s,eval_time_s,utmos,speaker_sim,wer,cer,sbs_f1,transcript
1188,1188_133604_000040_000002,single_baseline,1,random,42,outputs/fewshot/1188/1188_1188_133604_000040_000002_single_baseline_1refs_random_seed42.wav,14.23,0.76,4.395,0.9798,0.1379,0.0272,,"But if you go on into the vericities of the school of clay, you will find there is something at the roots of almond and apple trees, which is this."
1188,1188_133604_000040_000002,single_baseline,1,random,123,outputs/fewshot/1188/1188_1188_133604_000040_000002_single_baseline_1refs_random_seed123.wav,14.55,0.45,4.34,0.971,0.1034,0.0204,,"But if you go on into the veracities of the school of clay, you will find there is something at the roots of almond and apple trees, which is this."
1188,1188_133604_000040_000002,single_baseline,1,random,456,outputs/fewshot/1188/1188_1188_133604_000040_000002_single_baseline_1refs_random_seed456.wav,15.56,0.44,4.437,0.9689,0.1724,0.0612,,"But if you go on into the various cities of the school of clay, you will find there is something at the roots of almond and apple trees, which is this."
1188,1188_133604_000040_000002,embed_avg,1,random,42,outputs/fewshot/1188/1188_1188_133604_000040_000002_embed_avg_1refs_random_seed42.wav,14.77,0.44,4.376,0.9734,0.1034,0.0204,,"But if you go on into the veracities of the school of clay, you will find there is something at the roots of almond and apple trees, which is this."
1188,1188_133604_000040_000002,embed_avg,1,random,123,outputs/fewshot/1188/1188_1188_133604_000040_000002_embed_avg_1refs_random_seed123.wav,14.76,0.44,4.479,0.9705,0.1034,0.0204,,"But if you go on into the veracities of the school of clay, you will find there is something at the roots of almond and apple trees, which is this."
1188,1188_133604_000040_000002,embed_avg,1,random,456,outputs/fewshot/1188/1188_1188_133604_000040_000002_embed_avg_1refs_random_seed456.wav,14.25,0.45,4.502,0.962,0.1379,0.0272,,"But if you go on into the vericities of the school of clay, you will find there is something at the roots of almond and apple trees, which is this."
1188,1188_133604_000040_000002,embed_avg,1,longest,42,outputs/fewshot/1188/1188_1188_133604_000040_000002_embed_avg_1refs_longest_seed42.wav,13.57,0.46,4.482,0.968,0.1034,0.0204,,"But if you go on into the veracities of the school of clay, you will find there is something at the roots of almond and apple trees, which is this."
1188,1188_133604_000040_000002,embed_avg,1,longest,123,outputs/fewshot/1188/1188_1188_133604_000040_000002_embed_avg_1refs_longest_seed123.wav,14.7,0.44,4.455,0.9814,0.1379,0.034,,"But if you go on into the varicities of the school of clay, you will find there is something at the roots of almond and apple trees, which is this."
1188,1188_133604_000040_000002,embed_avg,1,longest,456,outputs/fewshot/1188/1188_1188_133604_000040_000002_embed_avg_1refs_longest_seed456.wav,13.65,0.44,4.47,0.9701,0.1034,0.0204,,"But if you go on into the veracities of the school of clay, you will find there is something at the roots of almond and apple trees, which is this."
1188,1188_133604_000040_000002,embed_avg,2,random,42,outputs/fewshot/1188/1188_1188_133604_000040_000002_embed_avg_2refs_random_seed42.wav,13.45,0.44,4.466,0.9804,0.1034,0.0204,,"But if you go on into the veracities of the school of clay, you will find there is something at the roots of almond and apple trees, which is this."
1188,1188_133604_000040_000002,embed_avg,2,random,123,outputs/fewshot/1188/1188_1188_133604_000040_000002_embed_avg_2refs_random_seed123.wav,15.2,0.45,4.487,0.9771,0.1034,0.0204,,"But if you go on into the veracities of the school of clay, you will find there is something at the roots of almond and apple trees, which is this."
1188,1188_133604_000040_000002,embed_avg,2,random,456,outputs/fewshot/1188/1188_1188_133604_000040_000002_embed_avg_2refs_random_seed456.wav,15.02,0.47,4.481,0.9647,0.1379,0.0272,,"but if you go on into the veracities of the school of clay, you will find there is something at the roots of almond and apple trees, which is this."
1188,1188_133604_000040_000002,embed_avg,2,longest,42,outputs/fewshot/1188/1188_1188_133604_000040_000002_embed_avg_2refs_longest_seed42.wav,15.54,0.45,4.475,0.9819,0.1034,0.0204,,"But if you go on into the veracities of the school of clay, you will find there is something at the roots of almond and apple trees, which is this."
1188,1188_133604_000040_000002,embed_avg,2,longest,123,outputs/fewshot/1188/1188_1188_133604_000040_000002_embed_avg_2refs_longest_seed123.wav,13.54,0.44,4.459,0.9684,0.1379,0.034,,"But if you go on into the varicities of the school of clay, you will find there is something at the roots of almond and apple trees, which is this."
